station_id,name,lat,lon,capacity
1,CLARENDON ROW,53.340927,-6.262501,31
10,DAME STREET,53.344006,-6.266802,16
100,HEUSTON BRIDGE (SOUTH),53.347107,-6.292041,25
101,KING STREET NORTH,53.350292,-6.273507,30
102,WESTERN WAY,53.35493,-6.269425,40
103,GRANGEGORMAN LOWER (SOUTH),53.354664,-6.278681,40
104,GRANGEGORMAN LOWER (CENTRAL),53.35517,-6.278424,40
105,GRANGEGORMAN LOWER (NORTH),53.355953,-6.278378,36
106,RATHDOWN ROAD,53.35893,-6.280337,40
107,CHARLEVILLE ROAD,53.359158,-6.281866,40
108,AVONDALE ROAD,53.359406,-6.276142,35
109,BUCKINGHAM STREET LOWER,53.353333,-6.249319,29
11,EARLSFORT TERRACE,53.334293,-6.258503,30
110,PHIBSBOROUGH ROAD,53.356308,-6.273717,40
111,MOUNTJOY SQUARE EAST,53.356716,-6.256359,40
112,NORTH CIRCULAR ROAD (O'CONNELL'S),53.35784,-6.251557,30
113,MERRION SQUARE SOUTH,53.338615,-6.248606,40
114,WILTON TERRACE (PARK),53.333652,-6.248345,40
115,KILLARNEY STREET,53.354843,-6.247579,30
116,BROADSTONE,53.3547,-6.272314,30
117,HANOVER QUAY EAST,53.343655,-6.231755,40
12,ECCLES STREET,53.359245,-6.269779,20
13,FITZWILLIAM SQUARE WEST,53.336075,-6.252825,30
14,FOWNES STREET UPPER,53.344604,-6.263371,30
15,HARDWICKE STREET,53.355473,-6.264423,16
16,GEORGES QUAY,53.347507,-6.252192,20
17,GOLDEN LANE,53.3408,-6.267732,20
18,GRANTHAM STREET,53.334126,-6.2656674,30
19,HERBERT PLACE,53.3347,-6.245139,30
2,BLESSINGTON STREET,53.35677,-6.26814,20
20,JAMES STREET EAST,53.336487,-6.248174,30
21,LEINSTER STREET SOUTH,53.342144,-6.2541847,30
22,TOWNSEND STREET,53.34592,-6.254614,20
23,CUSTOM HOUSE,53.34828,-6.254358,30
24,CATHAL BRUGHA STREET,53.352215,-6.260328,20
25,MERRION SQUARE EAST,53.33907,-6.247006,30
26,MERRION SQUARE WEST,53.34007,-6.251716,20
27,MOLESWORTH STREET,53.341236,-6.2575936,20
28,MOUNTJOY SQUARE WEST,53.3563,-6.258586,30
29,ORMOND QUAY UPPER,53.346107,-6.268345,29
3,BOLTON STREET,53.35118,-6.269859,20
30,PARNELL SQUARE NORTH,53.35374,-6.265301,20
31,PARNELL STREET,53.35093,-6.265125,20
32,PEARSE STREET,53.344303,-6.2504272,30
33,PRINCES STREET / O'CONNELL STREET,53.349014,-6.260311,23
34,LENNOX STREET,53.331383,-6.265023,40
35,SMITHFIELD,53.34769,-6.278214,30
36,ST. STEPHEN'S GREEN EAST,53.337635,-6.256218,40
37,ST. STEPHEN'S GREEN SOUTH,53.337494,-6.26199,30
38,TALBOT STREET,53.350998,-6.252661,40
39,WILTON TERRACE,53.332382,-6.252717,20
4,GREEK STREET,53.346874,-6.272976,20
40,JERVIS STREET,53.3483,-6.266651,21
41,HARCOURT TERRACE,53.332417,-6.2578697,20
42,SMITHFIELD NORTH,53.349564,-6.2781982,30
43,PORTOBELLO ROAD,53.33009,-6.268044,30
44,UPPER SHERRARD STREET,53.358593,-6.2602983,30
45,DEVERELL PLACE,53.351463,-6.255265,30
47,HERBERT STREET,53.335743,-6.24551,40
48,EXCISE WALK,53.34778,-6.244239,40
49,GUILD STREET,53.34793,-6.240928,40
5,CHARLEMONT PLACE,53.330704,-6.260004,40
50,GEORGES LANE,53.35023,-6.279696,40
51,YORK STREET WEST,53.339333,-6.264699,40
52,YORK STREET EAST,53.338757,-6.262003,32
53,NEWMAN HOUSE,53.33713,-6.26059,40
54,CLONMEL STREET,53.33602,-6.26298,33
55,HATCH STREET,53.33403,-6.260714,36
56,MOUNT STREET LOWER,53.337986,-6.241539,40
57,GRATTAN STREET,53.33963,-6.243778,23
58,SIR PATRICK DUN'S,53.33922,-6.240642,40
59,DENMARK STREET GREAT,53.35561,-6.261397,20
6,CHRISTCHURCH PLACE,53.34337,-6.27012,20
60,NORTH CIRCULAR ROAD,53.359623,-6.260348,30
61,HARDWICKE PLACE,53.357044,-6.263232,25
62,LIME STREET,53.346027,-6.243576,40
63,FENIAN STREET,53.341427,-6.24672,35
64,SANDWITH STREET,53.345203,-6.247163,40
65,CONVENTION CENTRE,53.34744,-6.238523,40
66,NEW CENTRAL BANK,53.347122,-6.234749,40
67,THE POINT,53.346867,-6.230852,40
68,HANOVER QUAY,53.344116,-6.237153,40
69,GRAND CANAL DOCK,53.342636,-6.238695,40
7,HIGH STREET,53.34342,-6.2744136,29
70,BARROW STREET,53.33831,-6.236779,21
71,KEVIN STREET,53.337757,-6.2676992,40
72,JOHN STREET WEST,53.343105,-6.277167,31
73,FRANCIS STREET,53.34208,-6.275233,30
74,OLIVER BOND STREET,53.34389,-6.280531,30
75,JAMES STREET,53.343456,-6.287409,40
76,MARKET STREET SOUTH,53.342297,-6.287661,38
77,WOLFE TONE STREET,53.348873,-6.267459,29
78,MATER HOSPITAL,53.359966,-6.264828,40
79,ECCLES STREET EAST,53.358116,-6.265601,27
8,CUSTOM HOUSE QUAY,53.347885,-6.248048,30
80,ST JAMES HOSPITAL (LUAS),53.34136,-6.292951,40
82,MOUNT BROWN,53.341644,-6.29719,22
83,EMMET ROAD,53.340714,-6.308191,40
84,BROOKFIELD ROAD,53.339005,-6.300217,30
85,ROTHE ABBEY,53.338776,-6.30395,35
86,PARKGATE STREET,53.347973,-6.291804,38
87,COLLINS BARRACKS MUSEUM,53.347477,-6.28525,38
88,BLACKHALL PLACE,53.3488,-6.281637,30
89,FITZWILLIAM SQUARE EAST,53.335213,-6.2509,40
9,EXCHEQUER STREET,53.343033,-6.263578,24
90,BENSON STREET,53.344154,-6.233451,40
91,SOUTH DOCK ROAD,53.34183,-6.231291,30
92,HEUSTON BRIDGE (NORTH),53.3478,-6.292432,40
93,HEUSTON STATION (CENTRAL),53.346603,-6.296924,40
94,HEUSTON STATION (CAR PARK),53.346985,-6.297804,40
95,ROYAL HOSPITAL,53.3439,-6.29706,40
96,KILMAINHAM LANE,53.341805,-6.305085,30
97,KILMAINHAM GAOL,53.342113,-6.310015,40
98,FREDERICK STREET SOUTH,53.341515,-6.256853,40
99,CITY QUAY,53.346638,-6.246154,30
